,Title,Summary,Director,Writer,Main Genres,Release Year,Runtime (Minutes),Rating (Out of 10),metadata
796,river wild,Follows a pair of siblings who love but distrust each other as they embark on a white-water rafting trip with a small group. One of their friends from childhood turns out to be more dangerous than he appears.,Ben Ketai,"Mike Nguyen Le,Ben Ketai,Denis O'Neill","Action,Adventure,Thriller",2023.0,91.0,5.4,follows pair sibling love distrust embark white water rafting trip small group one friend childhood turn dangerous appears mike nguyen le ben ketai denis neill ben ketai action adventure thriller
797,coyote ugly,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",David McNally,Gina Wendkos,"Comedy,Drama,Music",2000.0,100.0,5.7,aspiring songwriter violet sanford getting job woman run nyc bar tease male patron come shell gina wendkos david mcnally comedy drama music
798,inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",Ron Howard,"David Koepp,Dan Brown","Action,Adventure,Crime",2016.0,121.0,6.2,robert langdon wake italian hospital amnesia team dr sienna brook race across europe together clock foil deadly global plot david koepp dan brown ron howard action adventure crime
799,reality,A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.,Tina Satter,"Tina Satter,James Paul Dallas",Drama,2023.0,83.0,6.7,former american intelligence specialist given longest sentence unauthorized release government information medium russian interference united state election via email operation tina satter james paul dallas tina satter drama
800,phantom thread,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",Paul Thomas Anderson,Paul Thomas Anderson,"Drama,History,Romance",2017.0,130.0,7.4,set london reynolds woodcock renowned dressmaker whose fastidious life disrupted young strong willed woman alma becomes muse lover paul thomas anderson paul thomas anderson drama history romance
801,luther: the fallen sun,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,Jamie Payne,,"Crime,Drama,Mystery",2023.0,129.0,6.4,brilliant disgraced detective john luther break prison hunt sadistic serial killer terrorising london jamie payne crime drama mystery
802,all the money in the world,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,Ridley Scott,"David Scarpa,John Pearson","Biography,Crime,Drama",2017.0,132.0,6.8,story kidnapping year old john paul getty iii desperate attempt devoted mother convince billionaire grandfather jean paul getty pay ransom david scarpa john pearson ridley scott biography crime drama
803,palmer,An ex-convict strikes up a friendship with a boy from a troubled home.,Fisher Stevens,Cheryl Guerriero,Drama,2021.0,110.0,7.3,ex convict strike friendship boy troubled home cheryl guerriero fisher stevens drama
804,climax,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",Gaspar Noé,Gaspar Noé,"Drama,Horror,Music",2018.0,97.0,6.9,french dancer gather remote empty school building rehearse wintry night night celebration morphs hallucinatory nightmare learn sangria laced lsd gaspar gaspar drama horror music
805,easy a,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,Will Gluck,Bert V. Royal,"Comedy,Drama,Romance",2010.0,92.0,7.0,clean cut high school student relies school rumor mill advance social financial standing bert v royal gluck comedy drama romance
806,maleficent,"A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land.",Robert Stromberg,"Milt Banta,Linda Woolverton,Milt Banta(uncredited),Charles Perrault","Adventure,Family,Fantasy",2014.0,97.0,6.9,vengeful fairy driven curse infant princess discover child could one person restore peace troubled land milt banta linda woolverton milt banta uncredited charles perrault robert stromberg adventure family fantasy
807,young guns,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",Christopher Cain,John Fusco,"Action,Drama,Western",1988.0,107.0,6.8,group young gunman led billy kid become deputy avenge murder rancher became benefactor billy take authority far become hunted john fusco christopher cain action drama western
808,lost in space,The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.,Stephen Hopkins,"Akiva Goldsman,Irwin Allen","Action,Adventure,Family",1998.0,130.0,5.2,robinson family going space fight chance humanity fighting live long enough find way home akiva goldsman irwin allen stephen hopkins action adventure family
809,quantum of solace,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,Marc Forster,"Neal Purvis,Robert Wade,Paul Haggis","Action,Adventure,Mystery",2008.0,106.0,6.6,james bond descends mystery try stop mysterious organisation eliminating country valuable resource neal purvis robert wade paul haggis marc forster action adventure mystery
